 
  >> Using map h1_nh_HI4PI.fits
 
 LII , BII 112.685596    0.050659
 Requested position at X and Y pixel   647.60    974.69
  WARNING:  Input size  1.00 < distance  2.500
  Set size == distance
 
 Search nH in 30 X 30 pixels box
 Each pixel is  0.083 deg 0.083 deg
 
     RA       DEC      Dist(deg)        nH
  352.7469  61.2282   0.7467    6.02E+21
  352.5598  61.1991   0.6555    6.04E+21
  352.3732  61.1697   0.5656    6.13E+21
  352.1869  61.1400   0.4779    6.30E+21
  352.0010  61.1102   0.3936    6.54E+21
  351.8154  61.0800   0.3153    6.81E+21
  351.6303  61.0496   0.2488    7.06E+21
  351.4456  61.0190   0.2055    7.26E+21
  351.2613  60.9881   0.2011    7.36E+21
  351.0774  60.9570   0.2375    7.30E+21
  350.8938  60.9257   0.3002    7.21E+21
  350.7107  60.8940   0.3761    7.24E+21
  350.5280  60.8622   0.4587    7.44E+21
  350.3457  60.8301   0.5449    7.68E+21
  350.1638  60.7978   0.6332    7.85E+21
  349.9823  60.7652   0.7227    7.90E+21
  349.8012  60.7324   0.8131    7.89E+21
  349.6206  60.6994   0.9040    7.91E+21
  349.4403  60.6661   0.9953    7.96E+21
  349.2605  60.6326   1.0868    7.99E+21
  349.0810  60.5989   1.1785    7.95E+21
  348.9020  60.5649   1.2703    7.87E+21
  348.7234  60.5307   1.3622    7.78E+21
  354.0227  61.4951   1.3948    7.57E+21
  353.8326  61.4677   1.2994    7.35E+21
  353.6428  61.4400   1.2042    7.11E+21
  353.4534  61.4121   1.1091    6.82E+21
  353.2644  61.3840   1.0142    6.53E+21
  353.0758  61.3555   0.9196    6.30E+21
  352.8875  61.3269   0.8252    6.16E+21
  352.6997  61.2979   0.7312    6.09E+21
  352.5122  61.2687   0.6377    6.07E+21
  352.3252  61.2393   0.5448    6.13E+21
  352.1385  61.2096   0.4528    6.25E+21
  351.9522  61.1797   0.3626    6.45E+21
  351.7663  61.1495   0.2755    6.68E+21
  351.5808  61.1191   0.1957    6.92E+21
  351.3958  61.0884   0.1365    7.14E+21
  351.2111  61.0575   0.1297    7.26E+21
  351.0268  61.0263   0.1811    7.24E+21
  350.8429  60.9949   0.2580    7.15E+21
  350.6594  60.9632   0.3435    7.18E+21
  350.4764  60.9313   0.4325    7.38E+21
  350.2937  60.8992   0.5231    7.62E+21
  350.1115  60.8668   0.6147    7.79E+21
  349.9296  60.8342   0.7067    7.86E+21
  349.7482  60.8013   0.7990    7.89E+21
  349.5672  60.7682   0.8915    7.93E+21
  349.3866  60.7349   0.9840    7.99E+21
  349.2064  60.7013   1.0766    8.00E+21
  349.0266  60.6675   1.1692    7.96E+21
  348.8473  60.6335   1.2618    7.87E+21
  348.6683  60.5992   1.3544    7.80E+21
  353.9784  61.5652   1.3914    7.50E+21
  353.7878  61.5378   1.2956    7.27E+21
  353.5976  61.5101   1.1998    7.02E+21
  353.4079  61.4821   1.1042    6.75E+21
  353.2185  61.4539   1.0087    6.52E+21
  353.0294  61.4254   0.9133    6.36E+21
  352.8408  61.3967   0.8181    6.27E+21
  352.6526  61.3677   0.7230    6.21E+21
  352.4647  61.3385   0.6281    6.17E+21
  352.2773  61.3090   0.5333    6.18E+21
  352.0902  61.2792   0.4388    6.28E+21
  351.9036  61.2493   0.3447    6.43E+21
  351.7173  61.2190   0.2513    6.61E+21
  351.5315  61.1885   0.1597    6.81E+21
  351.3460  61.1578   0.0762    7.03E+21
  351.1610  61.1268   0.0631    7.19E+21
  350.9763  61.0956   0.1414    7.22E+21
  350.7921  61.0641   0.2319    7.16E+21
  350.6082  61.0324   0.3244    7.19E+21
  350.4248  61.0005   0.4176    7.34E+21
  350.2418  60.9683   0.5110    7.53E+21
  350.0592  60.9358   0.6045    7.68E+21
  349.8770  60.9031   0.6980    7.78E+21
  349.6952  60.8702   0.7914    7.86E+21
  349.5138  60.8371   0.8848    7.94E+21
  349.3329  60.8037   0.9781    7.99E+21
  349.1524  60.7701   1.0714    7.99E+21
  348.9723  60.7362   1.1645    7.94E+21
  348.7926  60.7021   1.2575    7.89E+21
  348.6133  60.6678   1.3505    7.85E+21
  353.9341  61.6353   1.3919    7.41E+21
  353.7432  61.6079   1.2959    7.18E+21
  353.5526  61.5801   1.2000    6.95E+21
  353.3624  61.5521   1.1043    6.72E+21
  353.1726  61.5238   1.0086    6.54E+21
  352.9832  61.4953   0.9130    6.44E+21
  352.7942  61.4665   0.8176    6.39E+21
  352.6056  61.4375   0.7222    6.34E+21
  352.4174  61.4082   0.6270    6.28E+21
  352.2295  61.3787   0.5319    6.28E+21
  352.0421  61.3489   0.4369    6.35E+21
  351.8551  61.3189   0.3421    6.46E+21
  351.6684  61.2886   0.2475    6.59E+21
  351.4822  61.2580   0.1534    6.75E+21
  351.2964  61.2272   0.0614    6.95E+21
  351.1109  61.1962   0.0439    7.15E+21
  350.9259  61.1649   0.1340    7.24E+21
  350.7413  61.1334   0.2275    7.24E+21
  350.5571  61.1016   0.3214    7.27E+21
  350.3733  61.0696   0.4154    7.36E+21
  350.1900  61.0374   0.5093    7.49E+21
  350.0070  61.0049   0.6032    7.60E+21
  349.8245  60.9722   0.6969    7.70E+21
  349.6423  60.9392   0.7906    7.82E+21
  349.4606  60.9060   0.8842    7.92E+21
  349.2793  60.8725   0.9777    7.95E+21
  349.0985  60.8389   1.0710    7.93E+21
  348.9180  60.8049   1.1643    7.90E+21
  348.7380  60.7708   1.2575    7.88E+21
  348.5584  60.7364   1.3506    7.90E+21
  353.8901  61.7055   1.3963    7.30E+21
  353.6987  61.6780   1.3005    7.10E+21
  353.5077  61.6502   1.2048    6.92E+21
  353.3172  61.6221   1.1092    6.73E+21
  353.1270  61.5938   1.0139    6.59E+21
  352.9372  61.5652   0.9187    6.52E+21
  352.7477  61.5364   0.8237    6.49E+21
  352.5587  61.5073   0.7290    6.45E+21
  352.3701  61.4780   0.6346    6.39E+21
  352.1819  61.4484   0.5406    6.38E+21
  351.9941  61.4186   0.4473    6.43E+21
  351.8067  61.3885   0.3551    6.53E+21
  351.6196  61.3582   0.2649    6.62E+21
  351.4330  61.3276   0.1799    6.73E+21
  351.2468  61.2967   0.1120    6.91E+21
  351.0610  61.2656   0.1033    7.12E+21
  350.8756  61.2343   0.1633    7.28E+21
  350.6907  61.2027   0.2460    7.36E+21
  350.5061  61.1709   0.3348    7.41E+21
  350.3220  61.1388   0.4259    7.46E+21
  350.1382  61.1065   0.5180    7.51E+21
  349.9549  61.0740   0.6107    7.56E+21
  349.7720  61.0412   0.7035    7.67E+21
  349.5895  61.0082   0.7965    7.80E+21
  349.4075  60.9749   0.8896    7.88E+21
  349.2258  60.9414   0.9827    7.88E+21
  349.0446  60.9077   1.0757    7.85E+21
  348.8638  60.8737   1.1687    7.84E+21
  348.6834  60.8395   1.2617    7.86E+21
  348.5035  60.8051   1.3546    7.93E+21
  353.8461  61.7757   1.4046    7.20E+21
  353.6544  61.7481   1.3092    7.04E+21
  353.4630  61.7203   1.2140    6.90E+21
  353.2720  61.6922   1.1191    6.77E+21
  353.0814  61.6638   1.0244    6.65E+21
  352.8912  61.6352   0.9302    6.61E+21
  352.7014  61.6063   0.8363    6.60E+21
  352.5120  61.5772   0.7430    6.57E+21
  352.3230  61.5478   0.6504    6.50E+21
  352.1344  61.5182   0.5590    6.47E+21
  351.9462  61.4883   0.4691    6.51E+21
  351.7584  61.4582   0.3820    6.60E+21
  351.5710  61.4278   0.2999    6.67E+21
  351.3840  61.3971   0.2280    6.74E+21
  351.1974  61.3662   0.1792    6.88E+21
  351.0112  61.3351   0.1738    7.08E+21
  350.8255  61.3037   0.2150    7.31E+21
  350.6401  61.2721   0.2829    7.48E+21
  350.4552  61.2402   0.3629    7.57E+21
  350.2707  61.2081   0.4484    7.59E+21
  350.0866  61.1757   0.5368    7.56E+21
  349.9029  61.1431   0.6267    7.57E+21
  349.7197  61.1103   0.7176    7.66E+21
  349.5368  61.0772   0.8091    7.79E+21
  349.3544  61.0439   0.9010    7.85E+21
  349.1724  61.0103   0.9931    7.82E+21
  348.9909  60.9765   1.0853    7.79E+21
  348.8097  60.9425   1.1777    7.79E+21
  348.6290  60.9082   1.2701    7.85E+21
  348.4487  60.8737   1.3625    7.95E+21
  353.8023  61.8460   1.4167    7.10E+21
  353.6101  61.8183   1.3220    6.98E+21
  353.4184  61.7904   1.2277    6.89E+21
  353.2270  61.7623   1.1337    6.80E+21
  353.0360  61.7339   1.0402    6.73E+21
  352.8454  61.7052   0.9473    6.70E+21
  352.6552  61.6763   0.8551    6.71E+21
  352.4654  61.6471   0.7639    6.69E+21
  352.2760  61.6177   0.6741    6.62E+21
  352.0870  61.5880   0.5861    6.56E+21
  351.8984  61.5581   0.5009    6.60E+21
  351.7102  61.5279   0.4203    6.68E+21
  351.5224  61.4974   0.3471    6.75E+21
  351.3350  61.4667   0.2872    6.78E+21
  351.1481  61.4358   0.2500    6.86E+21
  350.9615  61.4046   0.2461    7.05E+21
  350.7754  61.3732   0.2767    7.33E+21
  350.5897  61.3415   0.3323    7.58E+21
  350.4044  61.3096   0.4026    7.70E+21
  350.2195  61.2774   0.4811    7.70E+21
  350.0350  61.2450   0.5645    7.63E+21
  349.8510  61.2123   0.6507    7.61E+21
  349.6674  61.1794   0.7387    7.69E+21
  349.4842  61.1463   0.8280    7.80E+21
  349.3014  61.1129   0.9180    7.84E+21
  349.1191  61.0793   1.0087    7.80E+21
  348.9372  61.0454   1.0997    7.77E+21
  348.7557  61.0114   1.1911    7.79E+21
  348.5746  60.9770   1.2826    7.88E+21
  348.3940  60.9425   1.3743    7.98E+21
  353.7586  61.9162   1.4326    7.01E+21
  353.5661  61.8886   1.3388    6.91E+21
  353.3739  61.8606   1.2455    6.87E+21
  353.1821  61.8324   1.1528    6.83E+21
  352.9907  61.8040   1.0608    6.79E+21
  352.7997  61.7753   0.9697    6.79E+21
  352.6091  61.7463   0.8797    6.81E+21
  352.4189  61.7171   0.7912    6.81E+21
  352.2291  61.6876   0.7046    6.74E+21
  352.0397  61.6579   0.6208    6.68E+21
  351.8507  61.6279   0.5410    6.71E+21
