 
  >> Using map h1_nh_HI4PI.fits
 
 LII , BII   8.860643   49.256719
 Requested position at X and Y pixel  1869.69   1547.38
  WARNING:  Input size  1.00 < distance  2.500
  Set size == distance
 
 Search nH in 30 X 30 pixels box
 Each pixel is  0.083 deg 0.083 deg
 
     RA       DEC      Dist(deg)        nH
  230.6464   6.8798   1.1504    2.89E+20
  230.6027   6.8174   1.0798    2.92E+20
  230.5590   6.7551   1.0100    2.94E+20
  230.5152   6.6929   0.9410    2.95E+20
  230.4714   6.6308   0.8732    2.95E+20
  230.4275   6.5687   0.8067    2.95E+20
  230.3834   6.5066   0.7420    2.97E+20
  230.3394   6.4446   0.6796    3.00E+20
  230.2952   6.3827   0.6202    3.02E+20
  230.2510   6.3208   0.5646    3.04E+20
  230.2067   6.2590   0.5143    3.09E+20
  230.1623   6.1973   0.4707    3.14E+20
  230.1178   6.1356   0.4360    3.20E+20
  230.0733   6.0739   0.4124    3.26E+20
  230.0287   6.0123   0.4019    3.31E+20
  229.9840   5.9508   0.4054    3.35E+20
  229.9393   5.8893   0.4227    3.37E+20
  229.8944   5.8279   0.4521    3.40E+20
  229.8495   5.7666   0.4915    3.43E+20
  229.8046   5.7053   0.5387    3.47E+20
  229.7595   5.6441   0.5918    3.50E+20
  229.7144   5.5829   0.6494    3.54E+20
  229.6692   5.5218   0.7104    3.58E+20
  229.6239   5.4607   0.7739    3.60E+20
  229.5786   5.3997   0.8395    3.61E+20
  229.5331   5.3388   0.9066    3.62E+20
  229.4876   5.2779   0.9749    3.64E+20
  229.4421   5.2171   1.0443    3.69E+20
  229.3964   5.1563   1.1144    3.75E+20
  229.3507   5.0956   1.1853    3.80E+20
  230.5758   6.9393   1.1295    2.83E+20
  230.5322   6.8770   1.0569    2.87E+20
  230.4885   6.8147   0.9848    2.90E+20
  230.4448   6.7525   0.9132    2.92E+20
  230.4009   6.6904   0.8424    2.92E+20
  230.3570   6.6283   0.7725    2.92E+20
  230.3131   6.5662   0.7038    2.94E+20
  230.2690   6.5043   0.6367    2.96E+20
  230.2249   6.4423   0.5718    2.98E+20
  230.1807   6.3805   0.5098    3.00E+20
  230.1364   6.3187   0.4521    3.03E+20
  230.0920   6.2569   0.4004    3.07E+20
  230.0476   6.1952   0.3573    3.12E+20
  230.0031   6.1336   0.3263    3.18E+20
  229.9585   6.0720   0.3111    3.24E+20
  229.9139   6.0105   0.3138    3.29E+20
  229.8692   5.9491   0.3342    3.32E+20
  229.8244   5.8877   0.3692    3.35E+20
